system,microphones,gpu_ms,cpu_ms,parameters,delta_si_sdr_db_mean,delta_si_sdr_db_sd,stoi_mean,stoi_sd,pesq_mean,pesq_sd
Input microphone,1,,,0,0,,0.766,,1.237,
Norm-constrained GSC,4,,174.0,0,7.854,,0.922,,1.583,
Online SDW-MWF,4,,348.9,0,8.138,,0.874,,1.593,
ML-AIC,4,,209.6,0,13.403,,0.988,,2.288,
Online McNet,4,170.0,2831.5,1837250,11.355,0.700,0.915,0.008,2.263,0.071
AFnet,4,74.6,1459.0,2554896,10.102,0.018,0.923,0.005,2.257,0.059
EaBNet,4,37.3,701.6,2825160,12.105,0.133,0.933,0.001,2.142,0.062
SARC,4,28.0,458.7,46834,17.527,0.053,0.961,0.001,2.730,0.057

